A0W1EAR7,San Vicente,Costa Rica
CK3P6G7I,Dortmund,Germany
MAT40UCQ,Ciwidara,Indonesia
8T47WWID,Birowo,Indonesia
ZG3TCLTR,Ogden,United States
C7ANNJNS,Bodø,Norway
ELSX2RH7,Kadurahayu,Indonesia
4RH71IVA,Enrile,Philippines
IXMNRPIN,Jatisari,Indonesia
EY3QJZ96,Wanglinkou,China
2Y106WUL,Bagusan,Indonesia
ERFAAQ6F,Gaozhuang,China
PXBCO1UG,Timbaúba,Brazil
XF389WNO,eSikhawini,South Africa
UHX7E5X0,Hatsukaichi,Japan
C5V2FUDJ,Mtsensk,Russia
PLROYK0C,Haveli,Pakistan
VIFLA4YX,Ciengang,Indonesia
07ZIXOPJ,Hyères,France
QPKU8MDL,Allacapan,Philippines
PM85V6CQ,Seulimeum,Indonesia
5H32N52H,Mogotes,Colombia
OVOY7V4P,San José de Barlovento,Venezuela
EERQIFJ0,Bautista,Philippines
YANMLCNH,Ndjolé,Gabon
7U5KNAPF,Galván,Dominican Republic
XPC36VHR,Russas,Brazil
PDYNZDZ9,Balengbeng,Indonesia
X6W25X17,Tangalla,Sri Lanka
EXLQPNQI,El Peñol,Colombia
GYDR8S9J,Morada Nova,Brazil
YNJJZ4QW,Kalchevaya,Ukraine
PYZ4ABOY,Baicun,China
ALH4587G,Strängnäs,Sweden
KJYEE4YE,Labansari,Indonesia
XJ8MKVTS,Balma,France
S1MYSL99,Matamey,Niger
X4J9V47D,Dammarie-les-Lys,France
RF58KVDB,Bébédja,Chad
5PB620BL,Lapu-Lapu City,Philippines
LCNJG8H1,Pasłęk,Poland
OFJ4K4PX,Kyzyl-Kyya,Kyrgyzstan
4UI9PDDY,Taodian,China
OLBDRR2U,Guacara,Venezuela
PHHYGF18,Nahrīn,Afghanistan
4ZBW7ZT1,Zagazig,Egypt
M3RFHI6U,Palangkaraya,Indonesia
YR63ZVBZ,Levski,Bulgaria
6WZQX6A3,Loboniki,Indonesia
S8LXWUDD,Novyy Starodub,Ukraine
RMPHFGI9,Az̧ Z̧alī‘ah,Yemen
2TM1N9J1,Mobai,Sierra Leone
G0S6QFYP,Rotterdam postbusnummers,Netherlands
6OEPB98L,Dapitan,Philippines
X6Q5HNQK,Yaqian,China
6Z7WQ0CN,Horodne,Ukraine
EAW2FF4S,Boende,Democratic Republic of the Congo
YZW4FZH1,Jezzîne,Lebanon
5D47CKT8,Kamieniec,Poland
AJFCCCFB,Anzihao,China
T0JFPRYG,Clermont-Ferrand,France
VDR4ZXD3,Jimo,China
2R9PT0W4,Ararat,Armenia
N6C4QYMR,Hongling,China
DLDS22QS,Kalimeneng,Indonesia
BMLEF9IC,Longhua,China
T3QR5NK4,San Miguel,Mexico
WJKXPMSG,Guápiles,Costa Rica
Z5LTJAO5,Qinlan,China
QLUI5DY4,Forbach,France
MA3WACSR,Chowki Jamali,Pakistan
QIPTG30G,Mošorin,Serbia
B6U9R5FM,Chipoka,Malawi
W5CXYJW8,Dolní Lhota,Czech Republic
4VQZ9USW,Tsuyama,Japan
JMGDSAFQ,Anaráchi,Greece
12AIY7BL,Pegongan,Indonesia
YXF2T8X6,Ko Pha Ngan,Thailand
X3KVXR10,Reggio Calabria,Italy
XQSUF6NM,Jojoima,Sierra Leone
G404FKAR,Akzhal,Kazakhstan
1NMFNCZC,Tuquan,China
1WS97T66,Veselynove,Ukraine
T3SG0SFC,Santa Cruz das Palmeiras,Brazil
RDQ9HI1Y,Passos,Portugal
OOFC56D4,La Laguna,Mexico
M2H958BX,Lingzhi,China
CXXGI52H,Brunssum,Netherlands
R33V6UGN,Windusakti Hilir,Indonesia
QKW3GRPG,Verkhniy Baskunchak,Russia
O2VP31R0,Farīmān,Iran
D9BBJ9AT,Keruguya,Kenya
Y3EY01ZN,Zala,China
XPELX3LJ,Concordia,Argentina
6LMIBI7R,Lukou,China
TD7GLTL1,Ajasse Ipo,Nigeria
8RUPXLI2,Zhaoyuan,China
IHUDB41E,Narail,Bangladesh
DVO2L2LQ,Mulandoro,Indonesia
ABEN3NL9,Guanyao,China
WG8OJ9BQ,San Rafael,Philippines
AGRVMH2C,Colca,Peru
ARIPCQTI,Saskylakh,Russia
IXU1CBVH,Suchen,China
QTDOREBC,Lansing,United States
2L7MTB0A,Judaydah,Yemen
C271INEM,Afogados da Ingazeira,Brazil
41QIKH3A,Belyye Stolby,Russia
UWR0TI2F,Ban Haet,Thailand
8T8V3MZV,Rustāq,Afghanistan
CVVIJGME,Leudelange,Luxembourg
168EP8TB,Teutônia,Brazil
795P53D5,Jankovec,Macedonia
HB9NU7BI,Krzemieniewo,Poland
PCUBFEFO,Ottawa,Canada
7MQ2T5UF,Thorpe,United Kingdom
F7BMPS7U,Matabao,Philippines
YFTRB8XD,Sukarame,Indonesia
N2HLIM4U,Zhangjiafan,China
4PGAL31D,Starý Bohumín,Czech Republic
YQ0BSWPP,Beigang,China
6W4Z4I9H,Lucas,Brazil
QTV325FJ,Taiyang,China
8OBMG2IU,Ţalkhā,Egypt
GLUM7QAQ,Pangtangis Dajah,Indonesia
5UPA23TV,Huai’an,China
P9UOMXFG,Ebebiyin,Equatorial Guinea
443KCW2F,Tebingtinggi,Indonesia
A9Y0PMBJ,Maria,Philippines
4NPIGXLG,Vel’sk,Russia
3I73JJ5J,Talagante,Chile
19UH070B,Vidin,Bulgaria
XGCSFCGL,Morelos,Mexico
4BUBTKDJ,Longxian Chengguanzhen,China
P02KELSL,Helin,China
NN34YKNT,Gifu-shi,Japan
3JATCY7M,Nusajaya,Malaysia
RWQGQG2W,Shuangyang,China
HPTMS5GJ,Ivanishchi,Russia
T85ALJWH,Shaydon,Tajikistan
ABW4QPL1,Manisi,China
7ATKKLMX,K Bang,Vietnam
USB23NZ6,Paraíba do Sul,Brazil
A9G2911Z,Shënmëri,Albania
C40K95QH,Kafr ad Dawwār,Egypt
19Y5HQL3,Mulhouse,France
GXNS1WPI,Gaopi,China
ATJGH5P6,Kobleve,Ukraine
TMT8A3N6,Shardara,Kazakhstan
79L3JBMU,Hadabei,China
N4QD4LYB,Simi Valley,United States
JZBHWGPB,Pulosari,Indonesia
IZ5PY48E,Warmare,Indonesia
7L3X1CKZ,Néa Magnisía,Greece
6QI1EFTZ,Szolnok,Hungary
Y36BCTSJ,Birinci Aşıqlı,Azerbaijan
JFRUK9L0,Koten,Indonesia
6Y5LJE64,Pagatan,Indonesia
XB9PW0Y1,Kano,Nigeria
PI3AGH38,Bairro dos Marinheiros,Portugal
T9ZMSF7B,Zarichne,Ukraine
0EW0QE7Z,Acarigua,Venezuela
OCXG5DCZ,Uva,Russia
C5KQPW3H,Jiangpu,China
74YIC9CQ,Goujie,China
XO33XRTI,Spandaryan,Armenia
QKAZ2P3W,Tokoname,Japan
08C9G8XI,Calingcing,Indonesia
4MVEZKZA,Kepahiang,Indonesia
L2AGYVWH,Manjing,China
MSH5VRK0,Liběšice,Czech Republic
YH9XZZIB,Psychikó,Greece
BNP6S2R5,Qingminghe,China
F6HLUBN8,Liang,Indonesia
I2VDL6S9,Dahe,China
BFCJUPHU,Azun Atme,Palestinian Territory
ILT478IE,Zungeru,Nigeria
FWGQUDXT,Koani Ndogo,Tanzania
EASN3DKP,Santa Rosa de Aguán,Honduras
0NWFECOX,Timba Lauk,Indonesia
Z4L1LAMO,Zhenyuan,China
TV2D5X4Y,Tanjung,Indonesia
4GZO1A3R,Mocajuba,Brazil
DOBUFW8V,Nizhnekamsk,Russia
880952VP,Jishui,China
VLOIQOB1,Turanj,Croatia
ZFKFP2PC,Holoriang,Indonesia
1XZOURMT,Yunxi,China
3X4TX4ZC,Angono,Philippines
RBOQBLQN,Zelenograd,Russia
4R2BXSGR,Hubei,China
2OFTQCDU,Gio Linh,Vietnam
WAPK6U7F,Paleran,Indonesia
PFJPIOXM,Petřvald,Czech Republic
A3A27Y3S,Kamenné Žehrovice,Czech Republic
LNJ82DTY,Ifo,Nigeria
F5RXQVSK,Shikeng,China
AL6V3LLC,Yuantan,China
ZNLQXIKL,Oslo,Norway
K6AIMXUC,Nedryhayliv,Ukraine
FFMEC7AC,Město Libavá,Czech Republic
WAXH8DA4,Sasar,Indonesia
GBLSUPKF,São Domingos,Cape Verde
3W81VLSL,Langkapcaang Hilir,Indonesia
P03ABS4G,Yamrat,Nigeria
BMLBHG45,Farkhah,Palestinian Territory
UBUWDQBT,João Câmara,Brazil
DN0OPA63,Lakatnik,Bulgaria
ZD7HLSOJ,Petaluma,United States
6LBEQDAF,Guatire,Venezuela
R2KZE78B,Andoany,Madagascar
ZZ8XSX1A,Huangjiazhai,China
8U9HCO5U,Póvoa,Portugal
LPY23BYO,Tanshi,China
4NPX4NA4,Tawa,China
P63KZWYU,Rizómata,Greece
VAXHIQYV,Leskovec pri Krškem,Slovenia
4BJL73ZK,Shuimen,China
TMBBJ8SL,Rancho Nuevo,Mexico
1OAW9PI3,Manggissari,Indonesia
IZE204X8,Lam Plai Mat,Thailand
XQXYAZVO,Čerčany,Czech Republic
OC1IQEUW,Xiangfeng,China
KDEDI4H0,Raub,Malaysia
3QWR0F9P,Can-asujan,Philippines
WI75EJ9K,Bishan,China
H15ZI6F3,Sanjia,China
TT4NBM03,Paris 18,France
78DUYGBP,Tehetu,China
HRSXU6J9,Lajkovac,Serbia
UVG3PL1Y,Norfolk,United States
9B5Y3ERZ,Dulyapino,Russia
YPI453LB,Borino,Bulgaria
TTNMXILP,Kanghe,China
2QS22VUV,Nong Ruea,Thailand
4TGCB10K,Takāb,Iran
5K7KLH3R,Živinice,Bosnia and Herzegovina
QGYFEWDQ,Norakert,Armenia
C24CEM8T,Jutaí,Brazil
5YA4L182,Cihaladan,Indonesia
B7Y741JI,Barão de Cocais,Brazil
11A8QYWX,Cunday,Colombia
LJMRQZ5W,Setro,Indonesia
D4PCFDOG,Rýmařov,Czech Republic
UE047O26,Mladá Boleslav,Czech Republic
C2687YAK,Taosha,China
N09Y3AP0,Karangsari,Indonesia
G3MP3BQ3,Kinsale,Ireland
80HYKJF3,Twardawa,Poland
QY2GZSK8,Giade,Nigeria
6KX3K64W,Whitehorse,Canada
5AKLT72N,Uiasa,Indonesia
IQ19OWGM,Fort Worth,United States
7HDWW560,Mayo,Philippines
6RQHIEI4,Cascais,Portugal
OE0IFVSR,Shangqiu,China
9T2P66WH,Lexington,United States
2HIFSWWV,Satka,Russia
U7EAQ454,Syrskoye,Russia
5C5IT4L3,Kamalaputi,Indonesia
0TZ0YFZH,Maszkienice,Poland
TO60Z1XL,Leiden,Netherlands
85BCT7XO,Nagrog,Indonesia
VTYRSQ2R,Zhalinghu,China
AQ4KEJ26,Changyŏn,North Korea
AIVY33SZ,Kuanping,China
5H2H5KHX,Zhonghekou,China
C1BN21WL,Bandarbeyla,Somalia
0FXT2MG5,Quezon City,Philippines
1MAR20JF,Praingkareha,Indonesia
402DQC8N,Xianrendu,China
II4SE3VO,Mushie,Democratic Republic of the Congo
T658UYC3,Dome,Ghana
HRMRT414,Ḩātim,Jordan
WQFGK04D,Cikandang,Indonesia
KZ033LUI,Bobrovka,Russia
O0IFLV4C,Suzuka,Japan
XWOR7X8F,Saint-Louis,France
XGX1CZQF,Aygepat,Armenia
FQR7VDJ0,Yongledian,China
LTHFSS8W,Partikan,Indonesia
6W42LPPS,Zhovkva,Ukraine
UTH6EX0Z,Lisboa,Portugal
JY49J4QE,Bonriki Village,Kiribati
VQ0722TO,Sapouy,Burkina Faso
BTUO4D33,Lomé,Togo
7SOT1AG1,Banjar Banyuning Barat,Indonesia
I18HYM64,Nubma,China
DYJXKJQJ,Labuan,Malaysia
HYNBELMI,Ramanavichy,Belarus
XL7RAO8M,Balyaga,Russia
VEDE9KU1,Hejiang,China
BVWWIFZQ,Nagornyy,Russia
IW1X8EA2,Corrientes,Argentina
ZF845ZWB,San Salvador,El Salvador
KIAJKNKE,Panguipulli,Chile
HOL27VAH,Chãos,Portugal
857AN1EZ,Maple Creek,Canada
1SBPFEJ4,Niepos,Peru
3XCZP7V0,Khadan Khāk,Pakistan
WZNRIX2D,Obigarm,Tajikistan
OF6GVO0M,Virginia Beach,United States
DGTCS3FV,Konsoy,Tajikistan
JUFU98SV,La Sabana,Honduras
1H8HUYXD,Juxing,China
X7ND5LO1,Wagini,Nigeria
1AEBUM3U,Dancheng,China
3JKROAJ2,Luknovo,Russia
1AVIVQ8X,Ush-Tyube,Kazakhstan
SECCOV9Q,Abbotsford,Canada
AZVQ2BMB,Araçatuba,Brazil
I38NJZYK,Vila Maior,Portugal
CRT7OMSX,Gongju,South Korea
P1EK7C2A,Tuohua,China
H5EHO5MG,Krupanj,Serbia
BIIAH9QA,Dawuhan,Indonesia
AJS8VSDX,Haikoudajie,China
M4IIYVLY,Uherce Mineralne,Poland
FCF116DR,Ergates,Cyprus
X951667X,Portorož,Slovenia
Q3RE9AY9,Longra,Portugal
346N6OE5,Brangsi,Indonesia
YTO4PUJY,Herrljunga,Sweden
LCQML0DQ,Węgrzce Wielkie,Poland
SUOCJZO0,Beicang,China
KPG5AXNY,Kutamandarakan,Indonesia
CO10V1TV,Yaté-Barrage,New Caledonia
JWXWEERR,Tsubame,Japan
IRHIAOPM,Taibao,Taiwan
XQQE915P,Jincheng,China
II3CV0SG,Lesnoy,Russia
XVCVJAP0,Ārifwāla,Pakistan
PYJH4ONT,Wojaszówka,Poland
SRN98ICM,Antalaha,Madagascar
YD810MP8,Sotomayor,Bolivia
WFN63I3A,Intendente Alvear,Argentina
BA7Y13LR,Shar’ya,Russia
2QCMHZBV,Gaoxu,China
D6TSKAQD,Palmira,Panama
0B52M711,Yerba Buena,Argentina
NDLC00JI,Mekarsari,Indonesia
W7W76206,Aguas Corrientes,Uruguay
RSAKBJRQ,Al Fūlah,Sudan
QT5QWVAB,Kuznetsovs’k,Ukraine
B7BIFO00,Zwierzyniec,Poland
H1KI1D65,Ticllos,Peru
Z9A98NZB,Elato,Micronesia
1GPZ0XN4,Kavadarci,Macedonia
0574FWXK,Ermida,Portugal
367602MU,Tiabaya,Peru
TW4YCOQ4,Nancy,France
BH6RI8BA,Hồ Xá,Vietnam
9MHDDOEX,Tsaritsyno,Russia
VF37VI81,Rabat,Morocco
PH1LA5CW,Olympia,United States
FNPI5PKI,Bitanjuan,Philippines
LKE54M6P,Dongxin,China
HALQK8TL,George Town,Cayman Islands
LUG6Y0CP,Qorao’zak,Uzbekistan
BXV2E0UE,Jinan,China
T6HZK3XB,Wonorejo,Indonesia
CN9IUI6U,Igarapé,Brazil
WWV5CBN3,Buutuo,Liberia
P0EIUOOJ,Tranca,Philippines
Y9L46VPF,Maţarah,Yemen
XDL1W40M,Abha,Saudi Arabia
5E1BX0BX,Ban Talat Bueng,Thailand
RT0Y8DY6,Mumias,Kenya
98EKYB7D,Cimuncang,Indonesia
G2BV0TRY,El Triunfo de la Cruz,Honduras
0HE8PNM1,Caucagüito,Venezuela
7V4H8Z4E,Punta Arenas,Chile
R5YRUEO0,Sathon,Thailand
R8C5BHTW,Kanaya,Japan
QHHM1UT5,Colorado Springs,United States
6O8XU2GV,Blang Dalam,Indonesia
TA4K05FS,Stare Pole,Poland
XLT6T255,Lamakera Dua,Indonesia
TPDOSMS0,Tromsø,Norway
5NQ87L5D,Mercier,Canada
ULNHH8TP,Serrinha,Portugal
OYY8PDKO,Empedrado,Argentina
705EDFY9,Colos,Portugal
HE3D7UL0,Zhovti Vody,Ukraine
O25PJM1H,Ambulong,Philippines
01LXMODE,Sanjiazi,China
YFCCXYHD,Merke,Kazakhstan
I1D4RCGU,Thạnh Hóa,Vietnam
VR2UJRAJ,Changxuanling,China
2AOU8HEO,Xiacaoqiao,China
Y6Z6CDVA,Sarany,Russia
H2XISDN5,Duyanggang,China
MI633GQU,Francisco Sarabia,Mexico
MXUKN0WP,Trzcinica,Poland
2CQNPIN2,Lewisporte,Canada
1ARRGPIP,Damu,China
KQGOSY1Q,Lümeng,China
1ZQ0NOSZ,Altos,Brazil
IKQBYO8W,Jutiapa,Guatemala
ZNJXGIXE,Lintan Chengguanzhen,China
NDNWXJJG,Margamukti,Indonesia
VR6I3QS2,Concepcion,Philippines
21HBTWCV,Sylhet,Bangladesh
JVI7HQ62,Douala,Cameroon
CPU08HR7,Palmasola,Venezuela
80UHH1VN,Kalajoki,Finland
749E9HM1,Peristerá,Greece
921M2H8M,Dolinsk,Russia
IUHZHGA7,Guzhen,China
CD4BIYW0,Zastron,South Africa
EY2BIVHZ,Rybinsk,Russia
215ER3I2,Mazeikiai,Lithuania
HKNL9SYI,San Juan Bautista,Paraguay
ZN2JH8HV,Amper,Nigeria
999OQ8ZW,Semampir,Indonesia
ZFXCPWQG,Sande São Martinho,Portugal
FNBTM4W6,Yono,Japan
5RGR5ZD1,Dashkawka,Belarus
14P96BY5,Deán Funes,Argentina
SMECQ71S,Arkalyk,Kazakhstan
EVYRJOB1,Pando,Uruguay
MUQF92VB,Yangong,China
SJS2ARKG,Belmopan,Belize
B2F58XPR,Bogatynia,Poland
L0S4V2N6,Jinhe,China
PW7FZGD7,Ustynivka,Ukraine
RX9KU6VZ,Caringin,Indonesia
CI6WH88N,Al Mazra‘ah ash Sharqīyah,Palestinian Territory
PZRT1CDE,Derhachi,Ukraine
25WLKWJV,Lisewo,Poland
ZQ4EVXX9,Kalipucang,Indonesia
TX42LUYL,Namibe,Angola
71ASIO2M,Pervoavgustovskiy,Russia
354AULIG,Qiucun,China
8N88Y70B,Dado,Philippines
I3ZEGZS1,Polel Diaoubé,Senegal
20PGAQBO,Älmhult,Sweden
GBNU60K1,Gorzyce,Poland
FRSG0QLR,Haukipudas,Finland
G53GSGKV,Qiping,China
MZGVD5IV,Agdangan,Philippines
BP2S7L60,Jardim do Seridó,Brazil
1Z9RC3FC,Huskvarna,Sweden
GW57ZN60,Anopog,Philippines
2TB606M8,Cemplang,Indonesia
B73YA66Q,Biecz,Poland
J589CZ16,Meixian,China
53I6M3CE,Sungaibengkal,Indonesia
60VVBXIL,Kiambu,Kenya
YJDTJPM4,Bulongji,China
BCNPR7EV,Sikonge,Tanzania
FJW2I1YM,Shangying,China
78AJIPWR,Sirājganj,Bangladesh
XFVLN5WN,Huangji,China
E3H20UBL,Tawangsari,Indonesia
24NRRQ17,Shentang,China
40A1OQOF,Banjar Tengahbelayu,Indonesia
TWROS0AF,Tambobamba,Peru
AXCHL0HT,Malaga,Spain
WT3U0SJ7,Jaguariúna,Brazil
GFCEV95S,Kumlinge,Aland Islands
4IVO9L28,Huizhai,China
72809L46,Argithéa,Greece
EZYFXVWE,Pandian,Indonesia
O0C6D4TN,Funaishikawa,Japan
SQ6R24C3,Wołczyn,Poland
59YM7P5H,Gaide,China
SD33VWLE,Mutengene,Cameroon
1VULYL7N,Gobernador Costa,Argentina
H215S0D5,Bilar,Philippines
SGJSWK0A,Limbaan,Philippines
S64BNOKV,Windsor,Canada
WX12PXBT,Cezi,China
K98F0US7,Clearwater,United States
ISSYM50J,Augsburg,Germany
D1VQIBCB,Boju,Nigeria
847UERA3,Ciulu,Indonesia
V6RD82XA,Ryczów,Poland
VYOSIH1Y,Batur Kidul,Indonesia
Q6O6DMLB,Julita,Philippines
1DD14Q5B,Nanyang,China
WS42W3PE,Capacmarca,Peru
0Q7LH3I2,Vágia,Greece
2KX9SSVY,Puyan,China
ITHLS7AY,Rucava,Latvia
NDXY9Z6O,Крива Паланка,Macedonia
NF6W51VY,Buritama,Brazil
AEK8HWEO,Asopós,Greece
AGYSS5D8,Pedro Leopoldo,Brazil
B7MWCJ6A,Mikhaylov,Russia
3VYUE88Z,Boussé,Burkina Faso
CAJ1RZFO,Penamacor,Portugal
WUDW89ZT,Mungui,Peru
ALPKQZSP,Strzelce,Poland
92BEP1BN,Overyata,Russia
17P2P49O,Foxrock,Ireland
44V1XZYB,Jianghai,China
5LUVL0VG,Mantalongon,Philippines
ER4A0Z5Z,Taytayan,Philippines
HLGO9949,Fangyan,China
6DCJ772J,Camatagua,Venezuela
W8IQDON1,Heshan,China
1G39UPJ6,Pokhara,Nepal
78SR0FQH,La Paloma,Uruguay
XEZ0RYLT,Yangping,China
0IG64BZQ,Busia,Kenya
8G3W7VQ5,Moyynkum,Kazakhstan
L0UYN7MF,Ungaran,Indonesia
80JJ4C0L,Dieppe,Canada
1R7LUCCC,Al Qārah,Saudi Arabia
FOS625TI,Itinga,Brazil
4R4HAC29,Oropós,Greece
N15MPWTP,Wartburg,South Africa
69EDK5YU,Elat,Indonesia
FB7B8WT6,Isyangulovo,Russia
CSKF56L7,Kertapura,Indonesia
83YBP1IM,Chahe,China
M1UKJVF4,Serere,Uganda
64FN9RSP,Puerto Rico,Peru
OIGMKPV9,Balesari,Indonesia
WOFBSA36,Tres Unidos,Peru
KKHM7VSC,Liwan,Philippines
I6VEHY5U,Kamal,Indonesia
WYDYI0O5,Vila Chã,Portugal
B7V9NWJS,Ōnojō,Japan
BF09O0N4,Sotíra,Cyprus
0VUE8IYB,Kedungwringin,Indonesia
TNNSO8IT,Pacapausa,Peru
QQHF467O,Toguchin,Russia
JFEXWJVS,Tianshan,China
9QXP6P5S,Sieniawa,Poland
N448TFXZ,Migrate,United States
WPXSYKZ4,Weekaka,Indonesia
CKWFYQCB,Tshela,Democratic Republic of the Congo
LEZXVM2R,Huangludian,China
MTY77XRT,Cipadung Timur,Indonesia
ZYSE9RFQ,La Loma,Mexico
P3Z74V1W,Kandete,Tanzania
TAK2NQWY,North Little Rock,United States
2XQMI5AD,Novhorodka,Ukraine
APKD9N08,Shuinan,China
OGSMUM8I,La Hacienda,Philippines
ICJ0ZVL2,Xinqiao,China
15GHT6PP,Miragaia,Portugal
OGLS8PPI,Lewodoli,Indonesia
U6MQTOS1,Jakhaly,Gambia
E3BZLFAD,Alexandria,United States
07Y0L88B,Orléans,France
7USCVIP6,Lanyi,China
SGTF9BIC,El Escanito,Honduras
TXLLUXWO,København,Denmark
ZTPVVAI6,Pampanito,Venezuela
2AWDIMFD,Kikinda,Serbia
B0CSD0U4,San Gabriel,Ecuador
ONYM6OJM,Lomba do Loução,Portugal
KX1YB94U,Caramanta,Colombia
8QFB6QJB,Minian,Indonesia
BYVXQSKV,Martakert,Azerbaijan
8N7AVDVG,Madīnat ‘Īsá,Bahrain
FG9NPA2V,Sarreguemines,France
W5TND2VZ,Orsay,France
47DQFJQ2,Congkar,Indonesia
H5TE3C9P,Al Manāqil,Sudan
KYLC122C,Batuna Satu,Indonesia
IJ88PNML,Beaumont,United States
1IB5G4G6,Psary,Poland
URFPBBVG,Satuba,Brazil
5JQ0R3CL,Kamenný Přívoz,Czech Republic
F2KVSL5U,Baizhu,China
K78T8XQY,Almeirim,Portugal
65W1UIWX,Ḩāfiz̧ Moghul,Afghanistan
E66CZHG1,Xianlong,China
CDVDTCNC,Kamyanyets,Belarus
5OU1HNP5,Palotina,Brazil
V4IX7TMZ,Chilecito,Argentina
9N01QZR7,Biryukove,Ukraine
7CSTLB46,Katsuta,Japan
IZCFV4WW,Hīt,Iraq
L3ZNTEX2,Oak Bay,Canada
25R1UZIU,Fatikchari,Bangladesh
3UJNG54N,Houzhen,China
L618C8Z4,Mozdok,Russia
0DJ8OOAM,Rasi Salai,Thailand
CCLLBRB4,Kholbon,Russia
7RJ7UK5Z,Inhambupe,Brazil
XB9A7V27,Kwekwe,Zimbabwe
2KQGNMZ0,Xiashan,China
LX0EBA33,Astghadzor,Armenia
ZLQSUEH4,Liubo,China
6PXCVSF8,Nguru,Nigeria
LJ5NVXRA,Nangewer,Indonesia
S1HW8204,Nikhom Phattana,Thailand
KSN6LEBD,Venda do Alcaide,Portugal
X1SOWR6F,Ranisoba,Indonesia
LWX7G59A,Grojec,Poland
8QQIXY13,Tyoply Stan,Russia
G1JCUMPP,Paris La Défense,France
0U64OAO5,Calamba,Philippines
ASVL8YQ1,Ibiá,Brazil
6TIB3MQS,Tifni,Morocco
AYY2OC8K,Pangguang,China
XQLS7F9O,Babakan Baru,Indonesia
DJSQTJW6,Lourdes,Philippines
LDOCL5II,‘Amrān,Yemen
SKE4BDZZ,Houston,United States
T35UG24G,Shuiting,China
2V129MGB,Wangge’ertang,China
41EUNDVF,Qingduizi,China
01ESEYRV,Segovia,Colombia
I2888NQV,Espírito Santo do Pinhal,Brazil
U1F92XMR,Bibinje,Croatia
43E7PPSD,Rožna Dolina,Slovenia
QKJS3IJM,Nanyulinxi,China
N6VOROY0,Feira de Santana,Brazil
P8M69R7P,Shihudang,China
JF9R8LWP,Queenstown,South Africa
KEHXZ6GP,Hiratachō,Japan
LGTGWDKM,Emalgolin Mongolzuxiang,China
QRJJON2C,Le Havre,France
Z0KSC3O7,Brezovica,Croatia
W3QHDSFQ,Atuntaqui,Ecuador
PXRTQ4U1,Varjota,Brazil
EYR822IT,Cavaillon,France
0QTU6LV8,Elefsína,Greece
0XZ352RF,Esquipulas Palo Gordo,Guatemala
7CSVOGQY,Hitoyoshi,Japan
Q1PR8N7G,Pagelaran,Indonesia
YMB0ML81,Aime,France
3QZDAWO5,Kuanghe,China
AX77X58L,Grande Rivière Noire,Mauritius
6NFS7L8K,Ulan Hua,China
KTJHO0D2,Corujeira,Portugal
JP81B2IF,Paris 09,France
1MQQB08Y,Kongjiafang,China
SZLKR9KC,Hällefors,Sweden
JHAWLMUK,Dongla,China
5N9BSAND,Moissy-Cramayel,France
M1V5S5UC,Longwood,Ireland
Q1AUUCAR,Siruma,Philippines
W8NTPRND,Toubao,China
W8V9N9YF,Orneta,Poland
RA2OHGNP,Dolo,Philippines
HQND1B5J,Graz,Austria
95KZMNU6,Rublëvo,Russia
ZOPWJOY5,Adámas,Greece
3IJMOUDY,Beizhang,China
XRHY8K5N,Baimiao,China
OTLRNSTM,Kowingir,Indonesia
F6WG3OS3,Pak Chom,Thailand
UVRPP618,Liuzuo,China
DHU76RNQ,Herrera,Philippines
4J5BDT8P,Uničov,Czech Republic
SGHD9176,Tân Việt,Vietnam
1CNZKYP0,Kolbuszowa,Poland
OKHRH3JH,Toyooka,Japan
BWH4TAVF,Krajan Suco,Indonesia
5H3RGP9X,Kengyuan,China
Q1UXX9VA,Nevers,France
VLWE5WLU,Kulotino,Russia
TQ8SZS2H,Szeged,Hungary
2N4RQNA2,Monchegorsk,Russia
A0Y1971F,Minusinsk,Russia
8BK6P1PE,Pajannangger,Indonesia
Y43KKYB2,Na Chaluai,Thailand
SPHUY9EY,Jinxiang,China
7TZ60JZ9,Yanhong,China
DLCERCCB,Villa Florida,Paraguay
YVE2Y2SD,Calibishie,Dominica
PA1ED6W3,Kariya,Japan
WLEUA1BQ,Kryry,Czech Republic
V6NB6EEG,Fengjiang,China
R7OFGYT3,Beira,Mozambique
YR8U3J5K,Potet,Indonesia
SDGFX4TN,Saint Aubin,Mauritius
13R4YJ7P,Rejoso,Indonesia
5X95HNIS,Sintra,Portugal
2EKY6A0I,Nikolayevsk,Russia
P0XK7YW6,Ninh Hòa,Vietnam
2BJU77CZ,Yanfolila,Mali
V34O8Q6M,Fuxin,China
UQ2YERXZ,Santiago,Mexico
VRHHG48M,Varberg,Sweden
U8ZPKR09,Banisilan,Philippines
4XQGC9YE,Al Qiţena,Sudan
YLTIJ1OK,Beizheng,China
GRL6KOG7,San Diego,Philippines
F3WIDJ2L,The Valley,Anguilla
99KP0JAX,Rancapeundey,Indonesia
RDKNHR8L,Shabel’skoye,Russia
9QBCAJV5,Qiulu,China
53IW966J,Gyodong,South Korea
BO4LDH7R,Bi’r al ‘Abd,Egypt
GU2IU9QP,Las Varas,Argentina
9YDJQ97Q,Palpalá,Argentina
06K21HKT,Arlington,United States
4GTVZCUA,Hihyā,Egypt
UOM4WY0M,Březová,Czech Republic
5D9V098I,Guayaquil,Ecuador
TECQDGX7,Laval,France
XXGBKG1D,Bamiantong,China
